text,position
"With increasing severe weather events and disasters 
triggering greater numbers of costly power outages, there is a growing interest in generators for 
reliable backup power.","{'entities': [(161, 173, 'SUSTECH')]}"
"$3,153 

NPC of Backup Power per Unit ($/kW)","{'entities': [(16, 28, 'SUSTECH')]}"
Annualized Costs and Benefits per Unit of Backup Power ($/kW-year).,"{'entities': [(42, 54, 'SUSTECH')]}"
"Many businesses without backup are 
considering installing generators, and facilities such as hospitals and airports—which are 
required to have backup power—are considering redundant systems for added resilience against 
grid outages.","{'entities': [(145, 157, 'SUSTECH')]}"
"Revenues from additional services can 
significantly reduce the life-cycle costs of a backup power system.","{'entities': [(86, 98, 'SUSTECH')]}"
"Generators that provide 
grid services in addition to backup power are often run more frequently, which generally 
coincides with a lower FTS rate.","{'entities': [(54, 66, 'SUSTECH')]}"
"analysis 
of backup power systems at commercial and military facilities, which estimated an MTTF of 545 
hours for standby packaged diesel generators and an MTTF of 457 hours for all standby diesel 
generators.8","{'entities': [(13, 25, 'SUSTECH')]}"
"Where P is the availability of backup power, m is the likelihood of a generator being out of 
operation due maintenance, FTS is the likelihood of it failing to start, FTR is the hourly 
likelihood of it failing to run, and FFS is the likelihood of a failure of fuel supply at or before","{'entities': [(31, 43, 'SUSTECH')]}"
"The primary economic parameter to be determined is the life-cycle cost of backup power over 
the assumed life of the backup generators.","{'entities': [(74, 86, 'SUSTECH')]}"
"In 
another business model, an energy services provider could install and own the generators and 
provide backup power to the facility owner for a fee.","{'entities': [(106, 118, 'SUSTECH')]}"
"Table 11 
includes the annualized revenues and costs for fuel and non-fuel O&M per unit of backup power.","{'entities': [(91, 103, 'SUSTECH')]}"
Annualized Costs and Benefits per Unit of Backup Power ($/kW-year).,"{'entities': [(42, 54, 'SUSTECH')]}"
"NPV of Backup Power per Unit 
($/kW)","{'entities': [(7, 19, 'SUSTECH')]}"
"While these results are not universal throughout the United States, they demonstrate that 
significant financial opportunities exist in some regions to either reduce the overall ownership 
costs of backup generation or even recover costs for backup power entirely through participation 
in grid services.","{'entities': [(242, 254, 'SUSTECH')]}"
"This means that backup power not only protects the supermarket from potential 
financial losses related to a power outage, but is potentially produces revenue from the grid 
services it provides.","{'entities': [(16, 28, 'SUSTECH')]}"
"The net life-cycle costs for backup power in the Houston, 
Texas, case study are $425/kW for diesel and $513/kW for natural gas.","{'entities': [(29, 41, 'SUSTECH')]}"
